WELL_LOG_NO,BOREHOLE_CASING_ID,BOREHOLE_DEPTH,BOREHOLE_DIAM,CASING_DIAM,CASING_LENGTH,CASING_THICKNESS,CASING_TYPE_CODE
1868,1516506,88.0,,2.0,88.0,,
1877,1515746,115.0,,2.0,115.0,,
1884,1516431,45.0,,2.0,45.0,,
1885,1526755,86.0,,2.0,86.0,,
1886,1079329,,,,,,
1888,1516432,66.0,,2.0,66.0,,
4731,1517601,,,,,,
17772,1516534,120.0,,4.0,112.0,,
27451,1515730,64.0,,2.0,64.0,,
27454,1515731,50.0,,2.0,50.0,,
27458,1516381,62.0,,2.0,62.0,,
27453,1516419,151.0,,2.0,151.0,,
27455,1516420,115.0,,2.0,115.0,,
27456,1516421,108.0,,2.0,108.0,,
27460,1516425,108.0,,2.0,108.0,,
27452,1516430,65.0,,2.0,65.0,,
17786,1516478,114.0,,4.0,115.0,,
17773,1516529,85.0,,4.0,85.0,,
27457,1526724,40.0,,2.0,42.0,,
27459,1526725,64.0,,2.0,64.0,,
17792,1526726,145.0,,4.0,145.0,,
17795,1526727,75.0,,4.0,72.0,,
23173,1526730,75.0,,4.0,72.0,,
23200,1533578,139.0,,4.0,139.0,,
27478,1515732,69.0,,2.0,69.0,,
27473,1515733,53.0,,2.0,53.0,,
27464,1515734,73.0,,2.0,73.0,,
27462,1515735,105.0,,2.0,105.0,,
27466,1515736,82.0,,2.0,82.0,,
27471,1515737,190.0,,2.0,190.0,,
27472,1515738,92.0,,2.0,92.0,,
27490,1515739,93.0,,2.0,93.0,,
27493,1515740,79.0,,2.0,79.0,,
27476,1516352,82.0,,2.0,84.0,,
27475,1516353,90.0,,2.0,90.0,,
27469,1516354,107.0,,2.0,107.0,,
27481,1516356,77.0,,2.0,77.0,,
27491,1516357,81.0,,2.0,81.0,,
27465,1516382,54.0,,2.0,54.0,,
27467,1516383,76.0,,2.0,76.0,,
27468,1516384,50.0,,2.0,50.0,,
27486,1516385,111.0,,2.0,111.0,,
27477,1516424,77.0,,2.0,79.0,,
27461,1516426,87.0,,2.0,87.0,,
27484,1516427,56.0,,2.0,56.0,,
27489,1516433,82.0,,2.0,82.0,,
27488,1516434,123.0,,2.0,123.0,,
27487,1516435,65.0,,2.0,65.0,,
27485,1516436,115.0,,2.0,115.0,,
27470,1516479,96.0,,2.0,96.0,,
27474,1516503,38.0,,2.0,38.0,,
27480,1516512,80.0,,2.0,80.0,,
27482,1526728,26.0,,2.0,26.0,,
27479,1526751,77.0,,2.0,77.0,,
27463,1526753,224.0,,2.0,224.0,,
27492,1526754,60.0,,2.0,60.0,,
33614,1515722,70.0,,2.0,60.0,,
33607,1515723,73.0,,,,,
27499,1515741,107.0,,2.0,107.0,,
29926,1515742,179.0,,4.0,179.2,,
31052,1516355,83.0,,2.0,83.0,,
31055,1516389,135.0,,2.0,,,
33609,1516393,76.0,,2.0,68.0,,
33611,1516394,70.0,,2.0,63.0,,
33610,1516399,187.0,,2.0,180.0,,
33612,1516400,186.0,,2.0,178.0,,
31056,1516404,52.0,,2.0,50.0,,
27494,1516417,124.0,,2.0,124.0,,
29912,1516422,115.0,,4.0,110.0,,
29916,1516423,91.0,,4.0,90.0,,
27495,1516437,48.0,,2.0,48.0,,
27496,1516438,113.0,,2.0,113.0,,
29920,1516440,96.0,,4.0,94.0,,
29921,1516441,117.0,,4.0,117.0,,
30863,1516452,89.0,,2.0,89.0,,
29939,1516467,69.0,,4.0,69.0,,
33606,1516486,53.0,,2.0,43.0,,
33613,1516488,67.0,,2.0,57.0,,
33601,1516502,64.0,,2.0,64.0,,
33604,1516504,42.0,,2.0,42.0,,
33605,1516505,43.0,,2.0,43.0,,
27498,1516507,66.0,,2.0,66.0,,
27497,1516508,119.0,,2.0,119.0,,
31054,1516516,47.0,,2.0,47.0,,
33616,1516518,160.0,,2.0,144.0,,
33615,1516519,105.0,,2.0,98.0,,
29901,1516530,158.0,,4.0,141.3,,
30861,1516533,98.0,,2.0,98.0,,
33632,1517712,66.0,,2.0,62.0,,
33635,1518037,84.0,,2.0,80.0,,
33638,1519880,160.0,,2.0,120.0,,
33633,1520028,117.0,,2.0,113.0,,
33640,1520194,84.0,,2.0,80.0,,
33617,1520195,77.0,,2.0,70.0,,
33642,1520264,62.0,,2.0,58.0,,
33641,1524138,94.0,,2.0,90.0,,
27500,1526729,73.0,,2.0,73.0,,
29928,1526731,120.0,,4.0,109.0,,
29925,1526757,84.0,,4.0,82.0,,
29937,1526779,145.0,,4.0,145.0,,
33608,1526797,48.0,,2.0,44.0,,
33636,1533572,118.0,,2.0,114.0,,
33639,1533606,74.0,,2.0,70.0,,
33637,1533617,160.0,,2.0,150.0,,
33618,1534474,60.0,,2.0,56.0,,
33627,1534475,36.0,,2.0,32.0,,
33620,1536883,53.0,,2.0,50.0,,
33621,1536884,70.0,,2.0,66.0,,
33619,1536926,74.0,,2.0,70.0,,
33643,1536934,86.0,,2.0,80.0,,
33629,1536940,64.0,,2.0,60.0,,
33631,1536961,40.0,,2.0,40.0,,
33626,1536964,78.0,,2.0,74.0,,
33625,1536967,96.0,,2.0,92.0,,
33630,1536973,54.0,,2.0,50.0,,
33624,1536995,50.0,,2.0,46.0,,
33628,1537004,55.0,,2.0,51.0,,
33622,1537014,50.0,,2.0,46.0,,
33623,1537015,73.0,,2.0,69.0,,
33634,1537022,46.0,,2.0,42.0,,
61852,1515743,67.0,,2.0,67.0,,
61875,1515744,71.0,,2.0,71.0,,
61893,1515745,105.0,,2.0,105.0,,
44305,1515750,82.0,,2.0,82.0,,
44330,1515751,91.0,,2.0,91.0,,
44325,1515753,157.0,,2.0,157.0,,
44326,1515754,84.0,,2.0,84.0,,
61883,1515755,,,2.0,139.0,,
44335,1515756,81.0,,2.0,81.0,,
44349,1515757,108.0,,2.0,108.0,,
44304,1516358,106.0,,2.0,106.0,,
61867,1516359,78.0,,2.0,78.0,,
61877,1516360,64.0,,2.0,64.0,,
61892,1516361,50.0,,2.0,50.0,,
61888,1516362,70.0,,2.0,70.0,,
61876,1516363,71.0,,2.0,71.0,,
44336,1516364,71.0,,2.0,71.0,,
44334,1516365,27.0,,2.0,47.0,,
44348,1516367,81.0,,2.0,81.0,,
44301,1516368,48.0,,2.0,48.0,,
44320,1516369,69.0,,2.0,69.0,,
61865,1516386,138.0,,2.0,138.0,,
61855,1516387,140.0,,2.0,140.0,,
46312,1516390,161.0,,4.0,157.0,,
44341,1516391,38.0,,2.0,38.0,,
38254,1516429,102.0,,2.0,102.0,,
