WELL_LOG_NO,GEO_SEQ_NO,GEO_COLOR_CODE,GEO_TEX_CODE,GEO_TYPE_CODE,GEO_DEPTH_FROM,GEO_DEPTH_TO
1868,1,,,CLA,19.0,88.0
1877,1,,,CLA,57.0,115.0
1884,1,,,CLA,0.0,45.0
1885,1,,,CLA,45.0,86.0
1886,1,,,CLA,86.0,105.0
1888,1,,,CLA,0.0,66.0
17772,1,,,TOP,0.0,12.0
17772,2,YEL,,CLA,12.0,18.0
17772,3,BLU,,CLA,18.0,40.0
17772,4,,,STO,40.0,100.0
17772,5,,,SND,40.0,100.0
17772,6,,,GRA,100.0,120.0
17772,7,,,H2O,,120.0
17773,1,,,TOP,0.0,9.0
17773,2,YEL,,CLG,9.0,15.0
17773,3,BLU,,CLS,15.0,70.0
17773,4,,,SGR,70.0,85.0
17786,1,,,TOP,0.0,4.0
17786,2,YEL,,CLA,4.0,60.0
17786,3,,,SGR,60.0,114.0
17792,1,,,TOP,0.0,1.0
17792,2,,,CLA,1.0,80.0
17792,3,,,SND,80.0,84.0
17792,4,,,GCL,84.0,140.0
17792,5,,,HDP,84.0,140.0
17792,6,,,GRA,140.0,145.0
17792,7,GRY,,ROC,140.0,145.0
17795,1,,,TOP,0.0,9.0
17795,2,,,SND,9.0,12.0
17795,3,,,GCL,,
17795,4,,,HDP,12.0,64.0
17795,5,,,SGR,64.0,71.0
17795,6,,,,71.0,75.0
23173,1,,,TOP,0.0,5.0
23173,2,YEL,,CLA,5.0,14.0
23173,3,BLU,,CLA,14.0,50.0
23173,4,,HRD,SCL,50.0,75.0
23173,5,,,STO,50.0,75.0
23173,6,,,GRA,50.0,75.0
23200,1,,,CLA,0.0,40.0
23200,2,,,TOP,0.0,40.0
23200,3,,FIN,SND,40.0,135.0
23200,4,,,GRA,135.0,139.0
27451,1,,,CLA,0.0,42.0
27451,2,,,SND,42.0,64.0
27452,1,,,CLA,0.0,40.0
27452,2,,,HPG,40.0,65.0
27453,1,,,CLA,65.0,151.0
27454,1,,,CLA,0.0,50.0
27455,1,,,CLA,50.0,80.0
27455,2,,,SGR,80.0,115.0
27456,1,,,CLA,0.0,109.0
27457,1,,,CLA,0.0,40.0
27458,1,,,CLA,0.0,40.0
27458,2,,,SND,40.0,62.0
27459,1,,,CLA,0.0,50.0
27459,2,,,GRA,50.0,64.0
27460,1,,,CLA,64.0,85.0
27460,2,,,HPG,85.0,108.0
27461,1,,,CLA,0.0,60.0
27461,2,,,HPG,60.0,87.0
27462,1,,,CLA,0.0,80.0
27462,2,,,SND,80.0,105.0
27463,1,,,CLA,0.0,30.0
27463,2,,,MSD,30.0,200.0
27463,3,,PAC,SND,200.0,224.0
27464,1,,,CLA,0.0,60.0
27464,2,,,SND,60.0,73.0
27465,1,,,CLA,0.0,54.0
27466,1,,,CLA,54.0,60.0
27466,2,,,GCL,60.0,82.0
27467,1,,,CLA,0.0,20.0
27467,2,,,SGR,20.0,60.0
27467,3,,,SND,60.0,76.0
27468,1,,,CLA,0.0,20.0
27468,2,,,SGR,20.0,50.0
27469,1,,,CLA,50.0,60.0
27469,2,,MUD,SND,60.0,90.0
27469,3,,,SND,90.0,107.0
27470,1,,,CLA,0.0,80.0
27470,2,,MUD,SND,80.0,94.0
27470,3,,,HDP,94.0,96.0
27471,1,,,CLA,0.0,80.0
27471,2,,,SGR,80.0,135.0
27471,3,,,SND,135.0,190.0
27472,1,,,CLA,0.0,92.0
27473,1,,,CLA,0.0,42.0
27473,2,,,SGR,42.0,53.0
27474,1,,,CLA,0.0,20.0
27474,2,,,SGR,20.0,38.0
27475,1,,,CLA,38.0,90.0
27476,1,,,CLA,0.0,30.0
27476,2,,,SGR,30.0,60.0
27476,3,,,CLA,60.0,82.0
27477,1,,,CLA,0.0,77.0
27478,1,,,CLA,0.0,44.0
27478,2,,,SGR,44.0,69.0
27479,1,,,CLA,0.0,38.0
27479,2,,,GRA,38.0,42.0
27479,3,,,CLA,42.0,77.0
27480,1,,,CLA,0.0,70.0
27480,2,,,HPG,70.0,80.0
27481,1,,,CLA,0.0,62.0
27481,2,,,GCL,62.0,77.0
27482,1,,MUD,SND,0.0,14.0
27482,2,,,HPG,14.0,26.0
27482,3,,,HDP,14.0,26.0
27484,1,,,CLA,0.0,35.0
27484,2,,,HPG,35.0,56.0
27485,1,,,CLA,56.0,115.0
27486,1,,,CLA,0.0,55.0
27486,2,,,GRA,55.0,75.0
27486,3,,,CLA,75.0,111.0
27487,1,,,CLA,0.0,42.0
27487,2,,,SGR,42.0,65.0
27488,1,,,CLA,65.0,123.0
27489,1,,,CLA,0.0,25.0
27489,2,,,SND,25.0,45.0
27489,3,,,CLA,45.0,82.0
27490,1,,,CLA,0.0,93.0
27491,1,,,CLA,0.0,81.0
27492,1,,,CLA,0.0,32.0
27492,2,,,GRA,32.0,44.0
27492,3,,,CLA,44.0,60.0
27493,1,,,CLA,60.0,79.0
27494,1,,,CLA,79.0,124.0
27495,1,,,CLA,0.0,40.0
27495,2,,,GRA,40.0,48.0
27496,1,,,CLA,48.0,56.0
27496,2,,,GRA,56.0,62.0
27496,3,,,CLA,62.0,113.0
27497,1,,,CLA,113.0,119.0
27498,1,,,CLA,0.0,60.0
27498,2,,,HPG,60.0,66.0
27499,1,,,CLA,0.0,60.0
27499,2,,,SGR,60.0,70.0
27499,3,,,SND,70.0,107.0
27500,1,,,CLA,0.0,35.0
27500,2,,,SND,35.0,73.0
29901,1,YEL,,CLA,0.0,9.0
29901,2,BLU,,CLA,9.0,128.0
29901,3,,,CLG,128.0,138.0
29901,4,,,GRA,138.0,141.0
29901,5,,,TOP,0.0,9.0
29901,6,,,H2O,0.0,142.0
29912,1,,,CLA,,
29912,2,,,HDP,0.0,105.0
29912,3,,,GRA,105.0,115.0
29916,1,,,CLA,0.0,55.0
29916,2,,,GCL,55.0,80.0
29916,3,,,SGR,80.0,90.0
29916,4,BLK,,SHA,90.0,91.0
29916,5,,,H2O,,91.0
29920,1,,,TOP,0.0,55.0
29920,2,,,CLA,0.0,55.0
29920,3,,,GCL,55.0,80.0
29920,4,,,SGR,80.0,95.0
29920,5,,CRS,GRA,95.0,96.0
29921,1,,,TOP,0.0,60.0
29921,2,,,CLA,0.0,60.0
29921,3,,,GRA,60.0,65.0
29921,4,,,STO,60.0,65.0
29921,5,,,CLA,65.0,90.0
29921,6,,,SGR,90.0,117.0
29925,1,,,CLA,0.0,12.0
29925,2,,,SCL,12.0,50.0
29925,3,,,SND,50.0,75.0
29925,4,,CRS,SND,75.0,84.0
29926,1,,,CLA,0.0,12.0
29926,2,,,QSD,12.0,22.0
29926,3,,,CLG,22.0,108.0
29926,4,,,SND,108.0,175.0
29926,5,,,GRA,175.0,179.0
29928,1,,,CLA,0.0,100.0
29928,2,,,GCL,100.0,106.0
29928,3,,,GRA,106.0,109.0
29928,4,,,HDP,109.0,120.0
29937,1,,,TOP,0.0,12.0
29937,2,BLU,,CLA,12.0,110.0
29937,3,,,SND,110.0,141.0
29937,4,,,GRA,141.0,145.0
29939,1,,,CLA,0.0,65.0
29939,2,,,GCL,65.0,69.0
30861,1,,,CLA,,
30861,2,BLK,,SHA,78.0,98.0
30861,3,,,H2O,,98.0
30863,1,,,CLA,70.0,87.0
30863,2,,,SGR,87.0,89.0
30863,3,,,H2O,,89.0
31052,1,YEL,,CLA,0.0,12.0
31052,2,BLU,,CLA,12.0,83.0
31054,1,YEL,,CLA,0.0,16.0
31054,2,BLU,,CLA,16.0,45.0
