WELL_LOG_NO,WELL_SCREEN_ID,SCREEN_DIAM,SCREEN_TYPE_CODE,SCREEN_MAT_CODE,SCREEN_SLOT_SIZE,SCREENED_INTERVAL_FROM,SCREENED_INTERVAL_TO,SCREEN_LENGTH
2012701,123,6.000,MAC,PVC,0.05,102.0,106.0,4.0
974634,164,6.000,,STA,0.015,47.0,50.0,3.0
974636,173,4.000,,STA,0.015,133.0,137.0,4.0
837672,517,,,,0.02,61.0,66.0,
939572,1510,,,,,136.0,139.0,3.0
939569,1511,4.000,CWW,STA,0.025,125.0,128.0,3.0
943145,1570,,,,,100.0,103.0,3.0
773965,1769,,,,0.25,50.0,54.0,4.0
925561,1778,,,,0.02,124.0,128.0,4.0
910235,1780,,,,0.02,66.0,70.0,4.0
943136,1910,,,,,85.0,88.0,3.0
943135,1911,,,,,122.0,126.0,4.0
943140,1912,,,,,105.0,109.0,4.0
943142,1913,4.000,CWW,STA,0.02,74.0,77.0,3.0
943157,1954,,,,0.15,106.0,111.0,5.0
773968,2230,,,,,176.0,180.0,4.0
943151,2242,,,,,92.0,95.0,3.0
943149,2243,,,,,141.0,145.0,4.0
910240,2391,,,,0.02,133.0,137.0,4.0
910239,2392,,,,0.02,47.0,51.0,4.0
939537,2465,,,,,174.0,178.0,4.0
939538,2466,,,,,89.0,92.0,3.0
939559,2514,,,,,57.0,60.0,3.0
939544,2584,,,,,84.0,87.0,3.0
939545,2585,,,,,136.0,139.0,3.0
910241,2821,,,,0.02,55.0,59.0,4.0
939549,2874,,,,,93.0,97.0,4.0
939553,2903,,,,,73.0,76.0,3.0
773964,2909,,,,,90.0,91.0,48.0
925563,2923,5.000,MAC,PVC,0.018,66.0,70.0,4.0
939552,2941,,,,,108.0,111.0,3.0
957532,3061,4.000,CWW,STA,0.02,187.0,190.0,3.0
957528,3062,,,,,208.0,211.0,3.0
957530,3063,,,,,95.0,100.0,5.0
910260,3114,,,,0.02,47.0,51.0,4.0
957499,3137,,,,,238.0,242.0,4.0
947360,3152,,,,0.015,143.0,147.0,4.0
910238,3172,,,,0.02,80.0,84.0,4.0
910237,3173,,,,0.02,66.0,70.0,4.0
910231,3217,5.000,CWW,PVC,0.02,35.0,39.0,4.0
947394,3251,,,,0.2,150.0,153.0,3.0
943194,3386,,,,,204.0,208.0,4.0
943190,3387,,,,,87.0,91.0,4.0
943181,3425,,,,,107.0,111.0,4.0
943182,3426,,,,,129.0,134.0,5.0
947419,3430,,,,0.2,176.0,179.0,3.0
947356,3769,,,,0.02,67.0,70.0,3.0
947352,3770,,,,0.02,105.0,108.0,3.0
910243,3951,,,,0.02,72.0,76.0,4.0
943164,3952,4.000,CWW,STA,0.02,126.0,129.0,3.0
910242,3953,5.000,CWW,PVC,0.02,71.0,75.0,4.0
950629,3954,4.000,CWW,FIB,0.025,82.0,92.0,10.0
943123,3967,,,,,191.0,194.0,3.0
947375,4001,,,,0.015,134.0,138.0,4.0
910244,4085,,,,0.02,101.0,105.0,4.0
950626,4086,,,,0.04,82.0,87.0,5.0
943114,4166,,,,0.2,47.0,50.0,3.0
943120,4167,,,,0.15,49.0,53.0,4.0
943109,4169,4.000,CWW,STA,0.2,69.0,72.0,3.0
943104,4171,,,,0.02,75.0,80.0,5.0
943107,4172,,,,0.02,178.0,181.0,3.0
943119,4173,,,,0.015,123.0,127.0,4.0
943121,4174,,,,0.02,165.0,168.0,3.0
943200,4175,,,,0.015,66.0,71.0,5.0
943132,4177,,,,0.02,84.0,87.0,3.0
943197,4178,,,,0.015,101.0,105.0,4.0
957490,4307,,,,0.015,95.0,99.0,4.0
957491,4308,,,,0.02,151.0,154.0,3.0
947363,4312,,,,,196.0,199.0,3.0
947368,4313,,,,,132.0,136.0,4.0
947365,4319,,,,,152.0,155.0,3.0
947407,4362,,,,0.02,135.0,138.0,3.0
947401,4363,,,,0.02,55.0,60.0,5.0
947406,4364,,,,0.02,125.0,128.0,3.0
947399,4365,,,,0.02,136.0,139.0,3.0
947403,4366,,,,0.015,85.0,90.0,5.0
910263,4431,,,,0.02,48.0,52.0,4.0
910248,4432,,,,0.02,107.0,111.0,4.0
910247,4433,,,,0.02,71.0,75.0,4.0
910264,4434,,,,0.02,46.0,50.0,4.0
910246,4482,5.000,CWW,PVC,0.02,46.0,50.0,4.0
910265,4483,,,,0.02,76.0,80.0,4.0
943171,4671,,,,0.02,75.0,80.0,5.0
943170,4672,,,,0.2,177.0,180.0,3.0
939575,4801,,,,,81.0,84.0,3.0
910232,4803,,,,0.02,35.0,39.0,4.0
910233,4804,,,,0.02,60.0,64.0,4.0
957514,4879,,,,,151.0,154.0,3.0
947423,4945,,,,,112.0,115.0,3.0
773969,4946,,,,0.25,49.0,53.0,48.0
947366,4947,,,,0.2,244.0,248.0,4.0
947371,4961,,,,0.2,92.0,95.0,3.0
957510,5025,4.000,CWW,STA,0.02,133.0,136.0,4.0
947385,5103,,,,0.02,93.0,96.0,3.0
947382,5104,,,,0.02,113.0,116.0,3.0
943185,5109,,,,,227.0,231.0,4.0
943186,5110,,,,,84.0,87.0,3.0
947380,5153,,,,0.15,114.0,118.0,4.0
947373,5288,,,,,91.0,94.0,3.0
943144,5414,,,,0.02,102.0,105.0,3.0
957486,5415,,,,0.02,178.0,181.0,3.0
957488,5416,,,,0.02,81.0,84.0,3.0
910258,5589,,,,0.02,92.0,100.0,8.0
943165,5647,,,,0.02,134.0,137.0,3.0
947327,5648,,,,0.02,208.0,213.0,5.0
948099,5665,,,,0.018,124.0,129.0,5.0
957547,5705,,,,,118.0,121.0,3.0
957549,5706,,,,,67.0,70.0,3.0
962649,5729,,,,,188.0,191.0,3.0
953356,5803,,,,0.018,,,5.0
953357,5804,,,,0.08,,,5.0
962632,5805,,,,,121.0,124.0,3.0
962651,5859,,,,0.015,114.0,117.0,3.0
910257,5987,,,,0.02,49.0,53.0,4.0
957559,5988,,,,0.02,98.0,101.0,3.0
957551,5989,,,,0.02,74.0,77.0,3.0
910261,5990,,,,0.02,84.0,88.0,4.0
910259,5991,,,,0.02,113.0,117.0,4.0
957561,5992,,,,0.015,223.0,228.0,5.0
962653,6000,,,,,127.0,130.0,3.0
773971,6014,,,,0.25,58.0,62.0,4.0
957575,6016,,,,,165.0,168.0,3.0
957573,6248,,,,,86.0,90.0,4.0
962628,6352,,,,0.015,143.0,147.0,4.0
966266,6383,,,,,125.0,130.0,5.0
748315,6451,,,,0.05,48.0,52.0,4.0
943163,6509,,,,0.02,81.0,84.0,3.0
947331,6510,,,,0.02,81.0,84.0,3.0
947328,6673,,,,0.02,197.0,200.0,3.0
943736,6718,4.000,CWW,STA,0.015,35.0,38.5,4.0
957538,6923,,,,0.02,60.0,63.0,3.0
953354,6924,,,,0.018,87.0,92.0,5.0
980323,6975,,,,,139.0,142.0,3.0
980327,6977,,,,,76.0,79.0,3.0
980324,6978,,,,,76.0,79.0,3.0
953352,7021,,,,0.018,123.0,128.0,5.0
953353,7022,,,,0.018,65.0,70.0,5.0
953351,7023,,,,0.018,,,5.0
947347,7045,,,,0.02,135.0,138.0,3.0
910250,7048,,,,0.02,46.0,50.0,4.0
947340,7155,,,,,101.0,105.0,4.0
947346,7156,,,,,174.0,179.0,5.0
947335,7157,,,,,70.0,75.0,5.0
947339,7158,,,,,186.0,189.0,3.0
957521,7207,,,,0.02,137.0,142.0,5.0
957523,7209,,,,0.02,115.0,118.0,3.0
957511,7210,,,,0.015,110.0,115.0,5.0
957520,7211,4.000,CWW,STA,0.02,136.0,139.0,3.0
957535,7407,4.000,CWW,STA,0.02,111.0,114.0,3.0
980316,7521,,,,,92.0,95.0,4.0
980314,7523,,,,,93.0,98.0,5.0
980319,7524,,,,,119.0,122.0,3.0
967746,7807,,,,0.015,108.0,113.0,4.0
953377,7808,,,,0.08,,,5.0
980328,7809,,,,,70.0,73.0,3.0
992064,7864,,,,,80.0,89.0,3.0
992063,7930,,,,,106.0,109.0,3.0
964627,7961,,,,0.02,100.0,104.0,4.0
964634,7962,5.000,CWW,PVC,0.02,65.0,69.0,4.0
958168,7963,,,,0.02,80.0,84.0,4.0
992123,8005,,,,0.02,191.0,194.0,3.0
958173,8006,5.000,MAC,PVC,0.025,102.0,110.0,8.0
958170,8009,5.000,MAC,PVC,0.025,72.0,80.0,8.0
995028,8052,,,,0.02,81.0,85.0,4.0
992116,8053,,,,0.015,134.0,138.0,4.0
992112,8054,4.000,CWW,STA,0.02,165.0,168.0,3.0
992110,8058,,,,0.02,96.0,99.0,8.0
964630,8059,,,,0.02,58.0,62.0,4.0
992114,8060,,,,0.015,144.0,148.0,4.0
992113,8061,,,,0.02,90.0,93.0,3.0
992081,8124,,,,,91.0,95.0,4.0
958162,8399,,,,0.03,165.0,170.0,5.0
958166,8400,,,,0.02,46.0,50.0,4.0
973680,8677,,,,0.02,68.0,71.0,3.0
992128,8734,,,,0.02,62.0,65.0,3.0
992129,8735,,,,0.02,92.0,95.0,3.0
992131,8743,,,,,157.0,160.0,3.0
964629,9148,,,,0.02,46.0,50.0,4.0
992107,9149,,,,0.02,121.0,124.0,3.0
992108,9150,,,,0.02,90.0,93.0,3.0
964628,9151,,,,0.035,126.0,130.0,4.0
992109,9152,,,,0.02,89.0,92.0,3.0
992049,9198,,,,,170.0,173.0,3.0
992056,9341,,,,,131.0,135.0,4.0
992061,9342,,,,,82.0,85.0,3.0
992058,9343,,,,,71.0,74.0,3.0
992054,9344,,,,,87.0,90.0,
992090,9618,,,,0.02,105.0,108.0,3.0
992091,9619,,,,0.02,188.0,191.0,3.0
992092,9620,,,,0.02,176.0,179.0,3.0
992093,9621,,,,0.02,136.0,139.0,3.0
992106,9859,6.000,CWW,STA,0.02,72.0,77.0,5.0
964632,9860,5.000,CWW,PVC,0.02,130.0,140.0,4.0
992101,9861,,,,,94.0,97.0,3.0
992094,9918,,,,0.02,97.0,100.0,3.0
953381,9919,,,,0.018,96.0,101.0,5.0
992098,9921,,,,0.02,99.0,104.0,5.0
2000451,9943,6.000,MAC,PVC,0.025,135.5,140.5,5.0
973659,10021,,,,,73.0,76.0,3.0
973661,10023,,,,,165.0,169.0,4.0
985662,10184,,,,0.02,81.0,84.0,3.0
985663,10185,,,,0.015,67.0,71.0,4.0
973673,10191,,,,,112.0,117.0,
983847,10271,,,,0.07,66.0,71.0,5.0
